Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
222,COVID-19,2020-02-01,Chad,0,0,0,0,0,0
223,COVID-19,2020-02-01,Chile,2,0,0,2,0,0
224,COVID-19,2020-02-01,China,79356,2837,37868,69554,2624,37657
225,COVID-19,2020-02-01,Colombia,0,0,0,0,0,0
226,COVID-19,2020-02-01,Comoros,0,0,0,0,0,0
227,COVID-19,2020-02-01,Congo (Brazzaville),0,0,0,0,0,0
228,COVID-19,2020-02-01,Congo (Kinshasa),0,0,0,0,0,0
229,COVID-19,2020-02-01,Costa Rica,0,0,0,0,0,0
230,COVID-19,2020-02-01,Cote d'Ivoire,0,0,0,0,0,0
231,COVID-19,2020-02-01,Croatia,6,0,0,6,0,0
232,COVID-19,2020-02-01,Cuba,0,0,0,0,0,0
233,COVID-19,2020-02-01,Cyprus,0,0,0,0,0,0
234,COVID-19,2020-02-01,Czechia,0,0,0,0,0,0
235,COVID-19,2020-02-01,Denmark,3,0,0,3,0,0
236,COVID-19,2020-02-01,Djibouti,0,0,0,0,0,0
237,COVID-19,2020-02-01,Dominica,0,0,0,0,0,0
238,COVID-19,2020-02-01,Dominican Republic,0,0,0,0,0,0
239,COVID-19,2020-02-01,Ecuador,0,0,0,0,0,0
240,COVID-19,2020-02-01,Egypt,1,0,1,1,0,1
241,COVID-19,2020-02-01,El Salvador,0,0,0,0,0,0
242,COVID-19,2020-02-01,Equatorial Guinea,0,0,0,0,0,0
243,COVID-19,2020-02-01,Eritrea,0,0,0,0,0,0
244,COVID-19,2020-02-01,Estonia,1,0,0,1,0,0
245,COVID-19,2020-02-01,Eswatini,0,0,0,0,0,0
246,COVID-19,2020-02-01,Ethiopia,0,0,0,0,0,0
247,COVID-19,2020-02-01,Fiji,0,0,0,0,0,0
248,COVID-19,2020-02-01,Finland,3,0,1,2,0,1
249,COVID-19,2020-02-01,France,100,2,12,95,2,12
250,COVID-19,2020-02-01,Gabon,0,0,0,0,0,0
251,COVID-19,2020-02-01,Gambia,0,0,0,0,0,0
252,COVID-19,2020-02-01,Georgia,1,0,0,1,0,0
253,COVID-19,2020-02-01,Germany,79,0,16,74,0,16
254,COVID-19,2020-02-01,Ghana,0,0,0,0,0,0
255,COVID-19,2020-02-01,Greece,4,0,0,4,0,0
256,COVID-19,2020-02-01,Greenland,0,0,0,0,0,0
257,COVID-19,2020-02-01,Grenada,0,0,0,0,0,0
258,COVID-19,2020-02-01,Guatemala,0,0,0,0,0,0
259,COVID-19,2020-02-01,Guinea,0,0,0,0,0,0
260,COVID-19,2020-02-01,Guinea-Bissau,0,0,0,0,0,0
261,COVID-19,2020-02-01,Guyana,0,0,0,0,0,0
262,COVID-19,2020-02-01,Haiti,0,0,0,0,0,0
263,COVID-19,2020-02-01,Holy See,0,0,0,0,0,0
264,COVID-19,2020-02-01,Honduras,0,0,0,0,0,0
265,COVID-19,2020-02-01,Hungary,0,0,0,0,0,0
266,COVID-19,2020-02-01,Iceland,1,0,0,1,0,0
267,COVID-19,2020-02-01,India,3,0,3,2,0,3
268,COVID-19,2020-02-01,Indonesia,0,0,0,0,0,0
269,COVID-19,2020-02-01,Iran,593,43,123,593,43,123
270,COVID-19,2020-02-01,Iraq,13,0,0,13,0,0
271,COVID-19,2020-02-01,Ireland,1,0,0,1,0,0
272,COVID-19,2020-02-01,Israel,7,0,1,7,0,1
273,COVID-19,2020-02-01,Italy,1128,29,46,1126,29,48
274,COVID-19,2020-02-01,Jamaica,0,0,0,0,0,0
275,COVID-19,2020-02-01,Japan,245,6,32,230,6,31
276,COVID-19,2020-02-01,Jordan,0,0,0,0,0,0
277,COVID-19,2020-02-01,Kazakhstan,0,0,0,0,0,0
278,COVID-19,2020-02-01,Kenya,0,0,0,0,0,0
279,COVID-19,2020-02-01,Kosovo,0,0,0,0,0,0
280,COVID-19,2020-02-01,Kuwait,45,0,0,45,0,0
281,COVID-19,2020-02-01,Kyrgyzstan,0,0,0,0,0,0
282,COVID-19,2020-02-01,Laos,0,0,0,0,0,0
283,COVID-19,2020-02-01,Latvia,0,0,0,0,0,0
284,COVID-19,2020-02-01,Lebanon,4,0,0,4,0,0
285,COVID-19,2020-02-01,Lesotho,0,0,0,0,0,0
286,COVID-19,2020-02-01,Liberia,0,0,0,0,0,0
287,COVID-19,2020-02-01,Libya,0,0,0,0,0,0
288,COVID-19,2020-02-01,Liechtenstein,0,0,0,0,0,0
289,COVID-19,2020-02-01,Lithuania,1,0,0,1,0,0
290,COVID-19,2020-02-01,Luxembourg,1,0,0,1,0,0
291,COVID-19,2020-02-01,Madagascar,0,0,0,0,0,0
292,COVID-19,2020-02-01,Malawi,0,0,0,0,0,0
293,COVID-19,2020-02-01,Malaysia,25,0,18,17,0,18
294,COVID-19,2020-02-01,Maldives,0,0,0,0,0,0
295,COVID-19,2020-02-01,Mali,0,0,0,0,0,0
296,COVID-19,2020-02-01,Malta,0,0,0,0,0,0
297,COVID-19,2020-02-01,Mauritania,0,0,0,0,0,0
298,COVID-19,2020-02-01,Mauritius,0,0,0,0,0,0
299,COVID-19,2020-02-01,Mexico,4,0,0,4,0,0
300,COVID-19,2020-02-01,Moldova,0,0,0,0,0,0
301,COVID-19,2020-02-01,Monaco,1,0,0,1,0,0
302,COVID-19,2020-02-01,Mongolia,0,0,0,0,0,0
303,COVID-19,2020-02-01,Montenegro,0,0,0,0,0,0
304,COVID-19,2020-02-01,Morocco,0,0,0,0,0,0
305,COVID-19,2020-02-01,Mozambique,0,0,0,0,0,0
306,COVID-19,2020-02-01,Namibia,0,0,0,0,0,0
307,COVID-19,2020-02-01,Nepal,1,0,1,0,0,1
308,COVID-19,2020-02-01,Netherlands,6,0,0,6,0,0
309,COVID-19,2020-02-01,New Zealand,1,0,0,1,0,0
310,COVID-19,2020-02-01,Nicaragua,0,0,0,0,0,0
311,COVID-19,2020-02-01,Niger,0,0,0,0,0,0
312,COVID-19,2020-02-01,Nigeria,1,0,0,1,0,0
313,COVID-19,2020-02-01,North Macedonia,1,0,0,1,0,0
314,COVID-19,2020-02-01,Norway,15,0,0,15,0,0
315,COVID-19,2020-02-01,Oman,6,0,1,6,0,1
316,COVID-19,2020-02-01,Pakistan,4,0,0,4,0,0
317,COVID-19,2020-02-01,Panama,0,0,0,0,0,0
318,COVID-19,2020-02-01,Papua New Guinea,0,0,0,0,0,0
319,COVID-19,2020-02-01,Paraguay,0,0,0,0,0,0
