ID,Country/Region,Date,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
211,Cambodia,2020-01-01,1,0,0,1,0,0
212,Cambodia,2020-02-01,1,0,1,0,0,1
213,Cambodia,2020-03-01,109,0,23,108,0,22
214,Cambodia,2020-04-01,122,0,119,13,0,96
215,Cambodia,2020-05-01,125,0,123,3,0,4
216,Cambodia,2020-06-01,141,0,130,16,0,7
217,Cambodia,2020-07-01,226,0,147,85,0,17
218,Cameroon,2020-01-01,0,0,0,0,0,0
219,Cameroon,2020-02-01,0,0,0,0,0,0
220,Cameroon,2020-03-01,193,6,5,193,6,5
221,Cameroon,2020-04-01,1832,61,934,1639,55,929
222,Cameroon,2020-05-01,5904,191,3568,4072,130,2634
223,Cameroon,2020-06-01,12592,313,10100,6688,122,6532
224,Cameroon,2020-07-01,17110,391,14539,4518,78,4439
225,Canada,2020-01-01,4,0,0,4,0,0
226,Canada,2020-02-01,20,0,0,16,0,0
227,Canada,2020-03-01,8514,100,0,8494,100,0
228,Canada,2020-04-01,54444,3309,0,45930,3209,0
229,Canada,2020-05-01,92465,7373,0,38021,4064,0
230,Canada,2020-06-01,106084,8649,0,13619,1276,0
231,Canada,2020-07-01,116458,8944,0,10374,295,0
232,Central African Republic,2020-01-01,0,0,0,0,0,0
233,Central African Republic,2020-02-01,0,0,0,0,0,0
234,Central African Republic,2020-03-01,3,0,0,3,0,0
235,Central African Republic,2020-04-01,50,0,10,47,0,10
236,Central African Republic,2020-05-01,1011,2,23,961,2,13
237,Central African Republic,2020-06-01,3745,47,787,2734,45,764
238,Central African Republic,2020-07-01,4599,59,1546,854,12,759
239,Chad,2020-01-01,0,0,0,0,0,0
240,Chad,2020-02-01,0,0,0,0,0,0
241,Chad,2020-03-01,7,0,0,7,0,0
242,Chad,2020-04-01,73,5,33,66,5,33
243,Chad,2020-05-01,778,65,491,705,60,458
244,Chad,2020-06-01,866,74,781,88,9,290
245,Chad,2020-07-01,922,75,810,56,1,29
246,Chile,2020-01-01,0,0,0,0,0,0
247,Chile,2020-02-01,2,0,0,2,0,0
248,Chile,2020-03-01,2844,12,156,2842,12,156
249,Chile,2020-04-01,17702,227,8580,14858,215,8424
250,Chile,2020-05-01,123550,1054,42727,105848,827,34147
251,Chile,2020-06-01,279393,5688,241229,155843,4634,198502
252,Chile,2020-07-01,347923,9187,319954,68530,3499,78725
253,China,2020-01-01,9802,213,211,9254,196,183
254,China,2020-02-01,79356,2837,37868,69554,2624,37657
255,China,2020-03-01,82279,3309,74645,2923,472,36777
256,China,2020-04-01,83956,4637,76951,1677,1328,2306
257,China,2020-05-01,84146,4638,77813,190,1,862
258,China,2020-06-01,84785,4641,78044,640,3,231
259,China,2020-07-01,86783,4656,78869,1998,15,825
260,Colombia,2020-01-01,0,0,0,0,0,0
261,Colombia,2020-02-01,0,0,0,0,0,0
262,Colombia,2020-03-01,906,16,31,906,16,31
263,Colombia,2020-04-01,6507,293,1439,5601,277,1408
264,Colombia,2020-05-01,29383,939,7032,22876,646,5593
265,Colombia,2020-06-01,97846,3334,40021,68463,2395,32989
266,Colombia,2020-07-01,257101,8777,131161,159255,5443,91140
267,Comoros,2020-01-01,0,0,0,0,0,0
268,Comoros,2020-02-01,0,0,0,0,0,0
269,Comoros,2020-03-01,0,0,0,0,0,0
270,Comoros,2020-04-01,1,0,0,1,0,0
271,Comoros,2020-05-01,106,2,26,105,2,26
272,Comoros,2020-06-01,303,7,200,197,5,174
273,Comoros,2020-07-01,354,7,328,51,0,128
274,Congo (Brazzaville),2020-01-01,0,0,0,0,0,0
275,Congo (Brazzaville),2020-02-01,0,0,0,0,0,0
276,Congo (Brazzaville),2020-03-01,19,0,0,19,0,0
277,Congo (Brazzaville),2020-04-01,220,9,19,201,9,19
278,Congo (Brazzaville),2020-05-01,611,20,179,391,11,160
279,Congo (Brazzaville),2020-06-01,1087,37,456,476,17,277
280,Congo (Brazzaville),2020-07-01,3200,54,829,2113,17,373
281,Congo (Kinshasa),2020-01-01,0,0,0,0,0,0
282,Congo (Kinshasa),2020-02-01,0,0,0,0,0,0
283,Congo (Kinshasa),2020-03-01,98,8,2,98,8,2
284,Congo (Kinshasa),2020-04-01,572,31,73,474,23,71
285,Congo (Kinshasa),2020-05-01,3070,72,448,2498,41,375
286,Congo (Kinshasa),2020-06-01,7039,170,1426,3969,98,978
287,Congo (Kinshasa),2020-07-01,8844,208,5700,1805,38,4274
288,Costa Rica,2020-01-01,0,0,0,0,0,0
289,Costa Rica,2020-02-01,0,0,0,0,0,0
290,Costa Rica,2020-03-01,347,2,4,347,2,4
291,Costa Rica,2020-04-01,719,6,338,372,4,334
292,Costa Rica,2020-05-01,1056,10,669,337,4,331
293,Costa Rica,2020-06-01,3459,16,1436,2403,6,767
294,Costa Rica,2020-07-01,15841,115,3824,12382,99,2388
295,Cote d'Ivoire,2020-01-01,0,0,0,0,0,0
296,Cote d'Ivoire,2020-02-01,0,0,0,0,0,0
297,Cote d'Ivoire,2020-03-01,179,1,7,179,1,7
298,Cote d'Ivoire,2020-04-01,1275,14,574,1096,13,567
299,Cote d'Ivoire,2020-05-01,2833,33,1435,1558,19,861
300,Cote d'Ivoire,2020-06-01,9499,68,4273,6666,35,2838
301,Cote d'Ivoire,2020-07-01,15655,96,10361,6156,28,6088
302,Croatia,2020-01-01,0,0,0,0,0,0
303,Croatia,2020-02-01,6,0,0,6,0,0
304,Croatia,2020-03-01,867,6,67,861,6,67
305,Croatia,2020-04-01,2076,69,1348,1209,63,1281
306,Croatia,2020-05-01,2246,103,2072,170,34,724
307,Croatia,2020-06-01,2777,107,2155,531,4,83
308,Croatia,2020-07-01,4881,139,3936,2104,32,1781
309,Cuba,2020-01-01,0,0,0,0,0,0
310,Cuba,2020-02-01,0,0,0,0,0,0
311,Cuba,2020-03-01,186,6,8,186,6,8
312,Cuba,2020-04-01,1501,61,681,1315,55,673
313,Cuba,2020-05-01,2045,83,1809,544,22,1128
