Id,Nom,Location,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
198,Monkeypox,New Caledonia,1.0,0.0,-1,-1,1.0,0.0,-1
199,Coronavirus,New Zealand,1557.0,22.0,1514,21,1.0,0.0,1
200,Monkeypox,New Zealand,41.0,0.0,-1,-1,12.0,0.0,-1
201,Coronavirus,Nicaragua,3439.0,108.0,2492,839,0.0,0.0,0
202,Coronavirus,Niger,1132.0,69.0,1027,36,0.0,0.0,0
203,Coronavirus,Nigeria,41180.0,860.0,18203,22117,648.0,2.0,829
204,Monkeypox,Nigeria,835.0,9.0,-1,-1,56.0,2.0,-1
205,Monkeypox,North America,36958.0,71.0,-1,-1,1482.0,12.0,-1
206,Coronavirus,North Macedonia,10213.0,466.0,5564,4183,127.0,6.0,137
207,Monkeypox,Norway,95.0,0.0,-1,-1,11.0,0.0,-1
208,Coronavirus,Norway,9132.0,255.0,8752,125,15.0,0.0,0
209,Monkeypox,Oceania,188.0,0.0,-1,-1,18.0,0.0,-1
210,Coronavirus,Oman,77058.0,393.0,57028,19637,1053.0,9.0,1729
211,Monkeypox,Pakistan,2.0,0.0,-1,-1,1.0,0.0,-1
212,Coronavirus,Pakistan,274289.0,5842.0,241026,27421,1176.0,20.0,3592
213,Monkeypox,Panama,226.0,1.0,-1,-1,27.0,1.0,-1
214,Coronavirus,Panama,61442.0,1322.0,35086,25034,1146.0,28.0,955
215,Coronavirus,Papua New Guinea,62.0,0.0,11,51,0.0,0.0,0
216,Monkeypox,Paraguay,125.0,0.0,-1,-1,11.0,0.0,-1
217,Coronavirus,Paraguay,4548.0,43.0,2905,1600,104.0,2.0,111
218,Monkeypox,Peru,3800.0,20.0,-1,-1,191.0,5.0,-1
219,Coronavirus,Peru,389717.0,18418.0,272547,98752,13756.0,575.0,4697
220,Monkeypox,Philippines,4.0,0.0,-1,-1,2.0,0.0,-1
221,Coronavirus,Philippines,82040.0,1945.0,26446,53649,1592.0,13.0,336
222,Monkeypox,Poland,217.0,0.0,-1,-1,13.0,0.0,-1
223,Coronavirus,Poland,43402.0,1676.0,32856,8870,337.0,5.0,103
224,Monkeypox,Portugal,953.0,0.0,-1,-1,77.0,0.0,-1
225,Coronavirus,Portugal,50299.0,1719.0,35375,13205,135.0,2.0,158
226,Monkeypox,Puerto Rico,211.0,0.0,-1,-1,15.0,0.0,-1
227,Coronavirus,Qatar,109597.0,165.0,106328,3104,292.0,0.0,304
228,Monkeypox,Qatar,5.0,0.0,-1,-1,1.0,0.0,-1
229,Coronavirus,Romania,45902.0,2206.0,25794,17902,1104.0,19.0,151
230,Monkeypox,Romania,47.0,0.0,-1,-1,3.0,0.0,-1
231,Coronavirus,Russia,816680.0,13334.0,602249,201097,5607.0,85.0,3077
232,Monkeypox,Russia,2.0,0.0,-1,-1,1.0,0.0,-1
233,Coronavirus,Rwanda,1879.0,5.0,975,899,58.0,0.0,57
234,Coronavirus,Saint Kitts and Nevis,17.0,0.0,15,2,0.0,0.0,0
235,Coronavirus,Saint Lucia,24.0,0.0,22,2,0.0,0.0,0
236,Monkeypox,Saint Martin (French part),1.0,0.0,-1,-1,1.0,0.0,-1
237,Coronavirus,Saint Vincent and the Grenadines,52.0,0.0,39,13,0.0,0.0,0
238,Coronavirus,San Marino,699.0,42.0,657,0,0.0,0.0,0
239,Monkeypox,San Marino,1.0,0.0,-1,-1,1.0,0.0,-1
240,Coronavirus,Sao Tome and Principe,865.0,14.0,734,117,2.0,0.0,38
241,Coronavirus,Saudi Arabia,268934.0,2760.0,222936,43238,1993.0,27.0,2613
242,Monkeypox,Saudi Arabia,8.0,0.0,-1,-1,1.0,0.0,-1
